Usuario;Aciertos;Municion;Puntuacion;Tiempo;Demora;Fecha;Hora;Distancia
roxi;11;15;85;2;00:09;09/02/2022;8:49;50
migel;10;15;70;2;00:17;04/02/2022;12:01;50
migel;13;15;96;2;00:08;02/02/2022;22:20;50
migel;14;15;98;2;00:08;02/02/2022;13:09;50
migel;15;15;88;2;00:23;26/01/2022;21:20;50
migel;15;15;96;2;00:20;26/01/2022;9:33;50
